Chr,Start,End,Symbol,Strand,TPM,,Gene_ID,Type,N_alu,N_events,Ed_Pri,Ed_Mat
chr9,99649655,99775990,MFSD14C,-,10.383,V,ENSG00000196312,protein_coding,57,73,0.194,0.0
chr15,40978381,40987305,RAD51-AS1,-,11.545,V,ENSG00000245849,lncRNA,3,72,0.166,0.0
chr1,10516579,10532586,DFFA,-,13.585,V,ENSG00000160049,protein_coding,12,71,0.16,0.0
chr2,101887681,101925163,RNF149,-,57.527,V,ENSG00000163162,protein_coding,17,71,0.179,0.0
chr9,114312002,114362173,PTGR1,-,87.344,V,ENSG00000106853,protein_coding,27,70,0.198,0.0
chr1,155657751,155708801,DAP3,+,33.386,V,ENSG00000132676,protein_coding,39,70,0.237,0.0
chr1,33116743,33151812,RBBP4,+,26.312,V,ENSG00000162521,protein_coding,22,70,0.285,0.0
chr19,12778885,12792648,AC010422.8,-,3.951,V,ENSG00000285589,protein_coding,11,70,0.259,0.0
chr1,17531623,17572502,PADI1,+,232.632,V,ENSG00000142623,protein_coding,11,69,0.135,0.0
chr3,50367213,50378411,RASSF1,-,20.483,V,ENSG00000068028,protein_coding,7,68,0.156,0.0
chr14,103851729,103970168,MARK3,+,23.659,V,ENSG00000075413,protein_coding,61,68,0.255,0.0
chr22,24951926,24978020,SNRPD3,+,19.793,V,ENSG00000100028,protein_coding,18,68,0.122,0.0
chr2,114462588,114514270,SLC35F5,-,14.199,V,ENSG00000115084,protein_coding,11,68,0.151,0.0
chr17,4901245,4931696,KIF1C,+,76.312,V,ENSG00000129250,protein_coding,11,68,0.149,0.0
chr3,197236654,197300194,BDH1,-,21.554,V,ENSG00000161267,protein_coding,12,68,0.184,0.0
chr22,24951975,25024972,GGT1,+,0.195,V,ENSG00000286070,protein_coding,39,68,0.122,0.0
chrX,2822013,2847390,ARSD,-,28.319,V,ENSG00000006756,protein_coding,12,67,0.234,0.0
chr1,6694228,6761984,DNAJC11,-,20.101,V,ENSG00000007923,protein_coding,31,67,0.242,0.0
chr3,12775027,12810956,TMEM40,-,119.813,V,ENSG00000088726,protein_coding,25,66,0.158,0.0
chr3,50126341,50156454,RBM5,+,38.177,V,ENSG00000003756,protein_coding,20,65,0.197,0.0
chr12,121746048,121837699,ANAPC5,-,26.105,V,ENSG00000089053,protein_coding,86,65,0.268,0.0
chr19,13842574,13874110,CCDC130,+,30.808,V,ENSG00000104957,protein_coding,32,65,0.173,0.0
chr2,113864791,113891593,IL1RN,+,1167.768,V,ENSG00000136689,protein_coding,4,65,0.122,0.0
chr16,67708434,67753242,GFOD2,-,26.782,V,ENSG00000141098,protein_coding,31,65,0.139,0.0
chr1,150573327,150602088,ENSA,-,123.588,V,ENSG00000143420,protein_coding,22,65,0.215,0.0
chr4,153539780,153601164,TMEM154,-,37.591,V,ENSG00000170006,protein_coding,18,65,0.127,0.0
chr17,1606110,1613671,TLCD2,-,12.611,V,ENSG00000185561,protein_coding,4,65,0.174,0.0
chr17,39910856,39943183,JUP,-,1052.948,V,ENSG00000173801,protein_coding,20,64,0.235,0.0
chr2,96472800,96500751,LINC00342,-,11.923,V,ENSG00000232931,lncRNA,1,64,0.219,0.0
chr11,65154092,65180996,FRMD8,+,75.136,V,ENSG00000126391,protein_coding,16,63,0.172,0.0
chr21,44299754,44333414,NDUFV3,+,13.189,V,ENSG00000160194,protein_coding,34,63,0.234,0.0
chr15,90377540,90456114,ARPIN-AP3S2,-,0.099,V,ENSG00000250021,protein_coding,30,63,0.153,0.0
chr14,50779044,50802276,DMAC2L,+,6.358,V,ENSG00000125375,protein_coding,8,62,0.161,0.0
chr15,34522197,34630261,SLC12A6,-,35.966,V,ENSG00000140199,protein_coding,48,62,0.087,0.0
chr16,28915742,28947847,RABEP2,-,20.989,V,ENSG00000177548,protein_coding,30,62,0.228,0.0
chr15,90438238,90456184,ARPIN,-,14.134,V,ENSG00000242498,protein_coding,6,62,0.155,0.0
chr4,71569921,71674336,RUFY3,+,23.238,V,ENSG00000018189,protein_coding,50,61,0.213,0.0
chr16,89747145,89762762,CDK10,+,29.65,V,ENSG00000185324,protein_coding,6,61,0.248,0.0
chr12,98987369,99000157,SLC25A3,+,113.268,V,ENSG00000075415,protein_coding,8,60,0.19,0.0
chr19,16177831,16213812,TPM4,+,134.828,V,ENSG00000167460,protein_coding,21,60,0.151,0.0
chr19,39109722,39127595,EIF3K,+,135.441,V,ENSG00000178982,protein_coding,22,60,0.198,0.0
chr19,42891171,42894449,CNFN,-,6259.265,V,ENSG00000105427,protein_coding,3,59,0.036,0.0
chr17,38333263,38351908,RAPGEFL1,+,224.015,V,ENSG00000108352,protein_coding,8,59,0.108,0.0
chr12,110872628,110888227,ARPC3,-,216.052,V,ENSG00000111229,protein_coding,10,59,0.195,0.0
chr6,42989361,43001894,RRP36,+,32.042,V,ENSG00000124541,protein_coding,11,59,0.199,0.0
chr7,100424442,100464632,SLC12A9,+,14.82,V,ENSG00000146828,protein_coding,29,59,0.168,0.0
chr1,160965001,160991133,F11R,-,93.237,V,ENSG00000158769,protein_coding,16,59,0.053,0.0
chr3,195384933,195466835,MUC20-OT1,+,12.043,V,ENSG00000242086,lncRNA,25,59,0.164,0.0
chr1,9982171,10003465,LZIC,-,13.561,V,ENSG00000162441,protein_coding,17,58,0.195,0.0
chr6,26124373,26139344,HIST1H2AC,+,57.024,V,ENSG00000180573,protein_coding,3,58,0.194,0.0
chr12,51317255,51326293,METTL7A,+,30.847,V,ENSG00000185432,protein_coding,7,58,0.072,0.0
chr7,66093945,66276176,AC027644.4,+,0.021,V,ENSG00000284461,protein_coding,128,58,0.255,0.0
chr16,1401932,1414114,GNPTG,+,23.104,V,ENSG00000090581,protein_coding,6,57,0.239,0.0
chr2,204103663,204170334,CYP20A1,+,7.164,V,ENSG00000119004,protein_coding,63,57,0.248,0.0
chr1,53361582,53392884,ECHDC2,-,37.171,V,ENSG00000121310,protein_coding,18,57,0.073,0.0
chr1,16450832,16482564,EPHA2,-,413.277,V,ENSG00000142627,protein_coding,5,57,0.104,0.0
chr9,37588410,38068684,AL138752.2,-,0.034,V,ENSG00000255872,protein_coding,144,57,0.192,0.0
chr1,1634175,1669127,AL031282.2,-,1.425,V,ENSG00000268575,lncRNA,24,57,0.241,0.0
chr18,670318,712662,ENOSF1,-,20.513,V,ENSG00000132199,protein_coding,21,56,0.2,0.0
chr1,10458649,10480568,PGD,+,804.613,V,ENSG00000142657,protein_coding,18,56,0.139,0.0
chr6,46620652,46645927,SLC25A27,+,10.072,V,ENSG00000153291,protein_coding,5,56,0.254,0.0
chr16,57186378,57220028,FAM192A,-,35.338,V,ENSG00000172775,protein_coding,14,56,0.317,0.0
chr14,35451163,35498773,SRP54,+,33.277,V,ENSG00000100883,protein_coding,28,55,0.208,0.0
chr19,6737936,6751541,TRIP10,+,248.121,V,ENSG00000125733,protein_coding,5,55,0.119,0.0
chrX,84258883,84348322,APOOL,+,9.615,V,ENSG00000155008,protein_coding,11,55,0.177,0.0
chr8,42752089,42885678,HOOK3,+,9.471,V,ENSG00000168172,protein_coding,54,55,0.181,0.0
chr22,29469066,29564321,KREMEN1,+,47.065,V,ENSG00000183762,protein_coding,35,55,0.167,0.0
chr4,69092371,69111438,TMPRSS11B,-,803.376,V,ENSG00000185873,protein_coding,6,55,0.069,0.0
chr20,48552873,48570422,RNF114,+,29.011,V,ENSG00000124226,protein_coding,7,54,0.177,0.0
chr19,11925099,11946016,ZNF440,+,13.591,V,ENSG00000171295,protein_coding,15,54,0.165,0.0
chr1,1656277,1677438,SLC35E2A,-,5.88,V,ENSG00000215790,protein_coding,15,54,0.223,0.0
chr4,753990,775647,AC139887.2,-,3.079,V,ENSG00000249592,lncRNA,10,54,0.173,0.0
chr19,39971052,39984425,TIMM50,+,12.808,V,ENSG00000105197,protein_coding,7,53,0.226,0.0
chr7,44866390,44887682,H2AFV,-,32.886,V,ENSG00000105968,protein_coding,13,53,0.169,0.0
chr12,110220890,110271206,TRPV4,-,36.312,V,ENSG00000111199,protein_coding,23,53,0.182,0.0
chr12,69201957,69244466,MDM2,+,10.216,V,ENSG00000135679,protein_coding,25,53,0.182,0.0
chr1,109941664,109969070,PSMA5,-,27.129,V,ENSG00000143106,protein_coding,14,53,0.231,0.0
chr11,117075053,117103241,PCSK7,-,6.385,V,ENSG00000160613,protein_coding,11,53,0.213,0.0
chr12,69139956,69187744,SLC35E3,+,2.184,V,ENSG00000175782,protein_coding,35,53,0.162,0.0
chr1,201951500,201975275,RNPEP,+,57.128,V,ENSG00000176393,protein_coding,14,53,0.191,0.0
chr7,65579591,65619555,CRCP,+,18.718,V,ENSG00000241258,protein_coding,22,53,0.058,0.0
chr17,25621102,25642952,WSB1,+,50.856,V,ENSG00000109046,protein_coding,14,52,0.133,0.0
chr14,20833826,20881660,TEP1,-,12.577,V,ENSG00000129566,protein_coding,17,52,0.199,0.0
chr3,49460379,49466759,NICN1,-,0.03,V,ENSG00000145029,protein_coding,4,52,0.188,0.0
chr19,46213887,46234154,FBXO46,-,33.522,V,ENSG00000177051,protein_coding,15,52,0.287,0.0
chr22,18560686,18613905,PEX26,+,5.938,V,ENSG00000215193,protein_coding,19,52,0.169,0.0
chr3,49454210,49466747,AC104452.1,-,0.518,V,ENSG00000283189,protein_coding,6,52,0.188,0.0
chr16,48278207,48397033,LONP2,+,20.435,V,ENSG00000102910,protein_coding,45,51,0.139,0.0
chr2,70377012,70475747,C2orf42,-,5.153,V,ENSG00000115998,protein_coding,85,51,0.21,0.0
chr2,70436576,70475792,TIA1,-,29.019,V,ENSG00000116001,protein_coding,23,51,0.21,0.0
chr19,38893775,38899728,FAM98C,+,14.795,V,ENSG00000130244,protein_coding,1,51,0.206,0.0
chr14,92582466,92588261,NDUFB1,-,31.816,V,ENSG00000183648,protein_coding,6,51,0.213,0.0
chr14,53106633,53162618,ERO1A,-,424.747,V,ENSG00000197930,protein_coding,29,51,0.096,0.0
chr10,103544200,103578222,OGA,-,71.067,V,ENSG00000198408,protein_coding,18,51,0.21,0.0
chr3,9849770,9896822,TTLL3,+,11.161,V,ENSG00000214021,protein_coding,25,51,0.236,0.0
chr13,33006554,33113022,N4BP2L2,-,13.844,V,ENSG00000244754,protein_coding,52,51,0.152,0.0
chr1,46049518,46084576,NASP,+,28.264,V,ENSG00000132780,protein_coding,28,50,0.216,0.0
chr7,66147151,66276451,RABGEF1,+,1.851,V,ENSG00000154710,protein_coding,83,50,0.253,0.0
chr4,39547956,39640522,SMIM14,-,21.778,V,ENSG00000163683,protein_coding,67,50,0.12,0.0
chr4,128702976,128761888,HSPA4L,+,10.884,V,ENSG00000164070,protein_coding,13,50,0.189,0.0
chr2,32502973,32541663,YIPF4,+,10.677,V,ENSG00000119820,protein_coding,19,49,0.244,0.0
chr1,156030951,156040295,RAB25,+,558.5,V,ENSG00000132698,protein_coding,6,49,0.136,0.0
chr19,11039487,11044211,TIMM29,+,19.13,V,ENSG00000142444,protein_coding,9,49,0.208,0.0
chr10,121331314,121356541,TIAL1,-,31.767,V,ENSG00000151923,protein_coding,7,49,0.231,0.0
chr19,43979106,44009087,PHLDB3,-,28.662,V,ENSG00000176531,protein_coding,20,49,0.216,0.0
chr7,48128225,48148333,UPP1,+,67.755,V,ENSG00000183696,protein_coding,4,49,0.139,0.0
chr6,42068857,42110358,C6orf132,-,116.615,V,ENSG00000188112,protein_coding,17,49,0.06,0.0
chr7,44051481,44078577,AC017116.2,-,0.392,V,ENSG00000285596,lncRNA,21,49,0.237,0.0
chr4,2794798,2842825,SH3BP2,+,28.642,V,ENSG00000087266,protein_coding,8,48,0.202,0.0
chr19,5911386,5915888,CAPS,+,10.2,V,ENSG00000105519,protein_coding,3,48,0.166,0.0
chr1,184759858,184943640,FAM129A,-,32.179,V,ENSG00000135842,protein_coding,34,48,0.089,0.0
chr19,3538259,3574288,MFSD12,-,13.544,V,ENSG00000161091,protein_coding,26,48,0.173,0.0
chr16,75476952,75499395,TMEM170A,-,8.915,V,ENSG00000166822,protein_coding,11,48,0.22,0.0
chr3,141876369,141944434,GK5,-,7.659,V,ENSG00000175066,protein_coding,33,48,0.192,0.0
chr3,49044495,49053386,WDR6,+,68.837,V,ENSG00000178252,protein_coding,3,48,0.215,0.0
chr16,30585061,30597092,ZNF785,-,5.328,V,ENSG00000197162,protein_coding,13,48,0.189,0.0
chr2,99757948,99939204,AC079447.1,+,0.62,V,ENSG00000241962,protein_coding,66,48,0.135,0.0
chr7,102277496,102312088,AC105052.3,-,0.11,V,ENSG00000267645,protein_coding,34,48,0.083,0.0
chr12,62860597,62994256,MON2,+,12.044,V,ENSG00000061987,protein_coding,48,47,0.229,0.0
chr14,104028233,104180586,KLC1,+,7.544,V,ENSG00000126214,protein_coding,102,47,0.25,0.0
chr11,130029677,130080257,ST14,+,184.099,V,ENSG00000149418,protein_coding,20,47,0.158,0.0
chr1,51819935,51984938,EPS15,-,22.256,V,ENSG00000085832,protein_coding,68,46,0.201,0.0
chr7,16955983,17385776,AHR,+,9.02,V,ENSG00000106546,protein_coding,47,46,0.162,0.0
chr9,37766975,37801434,EXOSC3,-,12.113,V,ENSG00000107371,protein_coding,16,46,0.17,0.0
chr15,75136071,75165706,SCAMP2,-,91.622,V,ENSG00000140497,protein_coding,23,46,0.163,0.0
chr1,46092976,46153785,GPBP1L1,-,47.506,V,ENSG00000159592,protein_coding,34,46,0.245,0.0
chr1,46159996,46216322,IPP,-,7.144,V,ENSG00000197429,protein_coding,48,46,0.19,0.0
chr12,110928902,110939922,VPS29,-,41.63,V,ENSG00000111237,protein_coding,4,45,0.285,0.0
chr16,15796992,15950885,MYH11,-,145.178,V,ENSG00000133392,protein_coding,100,45,0.191,0.0
chr3,45596886,45727833,LIMD1,+,4.483,V,ENSG00000144791,protein_coding,53,45,0.234,0.0
chr19,5830621,5839742,FUT6,-,77.724,V,ENSG00000156413,protein_coding,3,45,0.173,0.0
chr22,31048038,31063877,DUSP18,-,3.688,V,ENSG00000167065,protein_coding,11,45,0.252,0.0
chr19,36249044,36261930,PROSER3,+,7.001,V,ENSG00000167595,protein_coding,13,45,0.187,0.0
chr16,66912492,66929657,PDP2,+,5.792,V,ENSG00000172840,protein_coding,8,45,0.199,0.0
chr14,100757453,100772884,SLC25A29,-,32.267,V,ENSG00000197119,protein_coding,4,45,0.167,0.0
chr9,132239225,132275966,LINC00963,+,5.903,V,ENSG00000204054,lncRNA,13,45,0.138,0.0
chr1,9294834,9331396,H6PD,+,33.86,V,ENSG00000049239,protein_coding,7,44,0.071,0.0
chr19,19896648,19932560,ZNF506,-,4.987,V,ENSG00000081665,protein_coding,15,44,0.246,0.0
chrX,77081861,77151090,MAGT1,-,40.306,V,ENSG00000102158,protein_coding,61,44,0.042,0.0
chr19,46110252,46148887,EML2,-,32.24,V,ENSG00000125746,protein_coding,38,44,0.214,0.0
chr1,19542154,19578021,EMC1,-,13.508,V,ENSG00000127463,protein_coding,22,44,0.181,0.0
chr5,145492597,145562213,LARS,-,30.096,V,ENSG00000133706,protein_coding,34,44,0.338,0.0
chr7,6414158,6443598,RAC1,+,380.799,V,ENSG00000136238,protein_coding,18,44,0.098,0.0
chr1,150702664,150738268,CTSS,-,28.328,V,ENSG00000163131,protein_coding,21,44,0.15,0.0
chr15,85182512,85197574,WDR73,-,1.934,V,ENSG00000177082,protein_coding,9,44,0.116,0.0
chr12,123954601,124018266,RILPL1,-,2.483,V,ENSG00000188026,protein_coding,44,44,0.26,0.0
chr19,53030905,53067717,ZNF808,+,4.88,V,ENSG00000198482,protein_coding,38,44,0.216,0.0
chr3,9834766,9877085,ARPC4-TTLL3,+,0.223,V,ENSG00000250151,protein_coding,25,44,0.252,0.0
chr19,19871847,19932525,AC011477.4,-,0.29,V,ENSG00000267581,lncRNA,25,44,0.246,0.0
chr19,1573595,1592864,MBD3,-,17.225,V,ENSG00000071655,protein_coding,12,43,0.208,0.0
chr20,32077881,32237842,CBFA2T2,+,13.566,V,ENSG00000078699,protein_coding,102,43,0.171,0.0
chr19,8478154,8503901,MARCH2,+,32.251,V,ENSG00000099785,protein_coding,26,43,0.222,0.0
chr19,36157418,36169385,UPK1A,+,181.893,V,ENSG00000105668,protein_coding,10,43,0.182,0.0
chr12,2921788,2968957,ITFG2,+,12.498,V,ENSG00000111203,protein_coding,26,43,0.22,0.0
chr12,98909290,98944157,TMPO,+,17.866,V,ENSG00000120802,protein_coding,15,43,0.218,0.0
chr7,56131695,56148363,SUMF2,+,46.172,V,ENSG00000129103,protein_coding,15,43,0.176,0.0
chr7,44617493,44621886,TMED4,-,42.373,V,ENSG00000158604,protein_coding,0,43,0.063,0.0
chr17,73937588,73975258,ACOX1,-,44.543,V,ENSG00000161533,protein_coding,26,43,0.111,0.0
chr16,29916333,29937557,KCTD13,-,8.293,V,ENSG00000174943,protein_coding,18,43,0.321,0.0
chr2,99797615,99816024,MRPL30,+,14.44,V,ENSG00000185414,protein_coding,3,43,0.132,0.0
chrX,3735569,3855896,BX890604.2,-,3.784,V,ENSG00000285756,lncRNA,45,43,0.198,0.0
chr19,14676890,14682878,NDUFB7,-,230.562,V,ENSG00000099795,protein_coding,4,42,0.198,0.0
chr8,67579787,67774257,SGK3,+,4.721,V,ENSG00000104205,protein_coding,126,42,0.25,0.0
chr12,124104953,124118313,EIF2B1,-,39.799,V,ENSG00000111361,protein_coding,5,42,0.195,0.0
chr6,160090101,160166218,SOD2,-,81.613,V,ENSG00000112096,protein_coding,27,42,0.038,0.0
chr20,2276647,2321725,TGM3,+,10.939,V,ENSG00000125780,protein_coding,9,42,0.098,0.0
chr16,46918274,46965201,GPT2,+,84.988,V,ENSG00000166123,protein_coding,26,42,0.179,0.0
chr19,54976210,54984443,CDC42EP5,-,43.315,V,ENSG00000167617,protein_coding,3,42,0.186,0.0
chr19,8428173,8439254,ANGPTL4,+,135.22,V,ENSG00000167772,protein_coding,12,42,0.096,0.0
chr11,747415,765012,TALDO1,+,273.958,V,ENSG00000177156,protein_coding,13,42,0.11,0.0
chr16,71879899,71965102,IST1,+,46.796,V,ENSG00000182149,protein_coding,55,42,0.215,0.0
chr1,89829617,89852020,GBP6,+,660.556,V,ENSG00000183347,protein_coding,2,42,0.04,0.0
chr5,130506637,130541121,LYRM7,+,6.129,V,ENSG00000186687,protein_coding,15,42,0.249,0.0
chr11,66384097,66413940,RBM14-RBM4,+,1.438,V,ENSG00000248643,protein_coding,13,42,0.25,0.0
chr12,9010739,9067872,AC006581.2,-,7.369,V,ENSG00000282022,lncRNA,29,42,0.025,0.0
chr3,50192478,50226508,SEMA3F,+,126.957,V,ENSG00000001617,protein_coding,5,41,0.19,0.0
chr19,58281023,58331307,ZNF586,+,7.278,V,ENSG00000083828,protein_coding,26,41,0.238,0.0
chr19,38810485,38822716,KCNK6,+,48.909,V,ENSG00000099337,protein_coding,8,41,0.067,0.0
chr19,10461205,10491352,TYK2,-,37.193,V,ENSG00000105397,protein_coding,23,41,0.214,0.0
chr12,122988001,123011547,RSRC2,-,25.093,V,ENSG00000111011,protein_coding,18,41,0.235,0.0
chr10,70237755,70287280,SLC25A16,-,5.385,V,ENSG00000122912,protein_coding,54,41,0.274,0.0
chr19,16660642,16683226,SLC35E1,-,17.731,V,ENSG00000127526,protein_coding,20,41,0.112,0.0
chr2,130908965,130940323,SMPD4,-,25.005,V,ENSG00000136699,protein_coding,14,41,0.329,0.0
chr8,124191200,124222319,FAM83A,+,124.284,V,ENSG00000147689,protein_coding,10,41,0.085,0.0
chr14,39699435,39857717,MIA2,+,21.6,V,ENSG00000150527,protein_coding,53,41,0.255,0.0
chr7,64432154,64467062,ZNF117,-,16.118,V,ENSG00000152926,protein_coding,10,41,0.155,0.0
chr19,23487793,23578273,ZNF91,-,6.026,V,ENSG00000167232,protein_coding,21,41,0.127,0.0
chr10,75008601,75012451,MRPS16,-,43.264,V,ENSG00000182180,protein_coding,3,41,0.053,0.0
chr19,51834790,51845378,VSIG10L,-,208.031,V,ENSG00000186806,protein_coding,4,41,0.144,0.0
chr18,32820994,32847097,ZNF397,+,8.909,V,ENSG00000186812,protein_coding,6,41,0.173,0.0
chr16,89773542,89787306,VPS9D1,-,64.96,V,ENSG00000075399,protein_coding,6,40,0.253,0.0
chrX,48432837,48439550,RBM3,+,92.837,V,ENSG00000102317,protein_coding,2,40,0.11,0.0
chr15,34432875,34502297,KATNBL1,-,16.305,V,ENSG00000134152,protein_coding,23,40,0.219,0.0
chr15,50994463,51057906,SPPL2A,-,12.119,V,ENSG00000138600,protein_coding,40,40,0.197,0.0
chr19,45281126,45303909,CBLC,+,76.692,V,ENSG00000142273,protein_coding,18,40,0.27,0.0
chr1,225965515,225978170,SRP9,+,103.257,V,ENSG00000143742,protein_coding,5,40,0.23,0.0
chr11,126152960,126168740,TIRAP,+,4.3,V,ENSG00000150455,protein_coding,11,40,0.202,0.0
chr20,19997760,20014299,NAA20,+,126.966,V,ENSG00000173418,protein_coding,2,40,0.166,0.0
chr17,1421012,1466110,PITPNA,-,96.847,V,ENSG00000174238,protein_coding,27,40,0.247,0.0
chr15,90703836,90772911,SEMA4B,+,173.722,V,ENSG00000185033,protein_coding,44,40,0.152,0.0
